Hours,dni,dhi,ghi,wind_speed,temp_air
1376.5,2.08333,0.195,0,2.44667,1.55667
1377.5,0.576667,0.265,0,3.31167,0.545
1378.5,2.3,0.191667,0,2.28333,-1.29167
1379.5,2.12,2,1.24333,2.29167,-1.44333
1380.5,285.672,30.3067,59.3583,1.26,-3.545
1381.5,739.377,69.325,253.067,2.86667,1.465
1382.5,715.767,143.733,435.955,3.93167,4.71333
1383.5,128.672,268.102,338.247,3.775,6.22
1384.5,247.307,408.262,563.833,4.66167,8.62
1385.5,250.83,327.852,491.453,6.29833,9.805
1386.5,450.848,268.083,543.93,6.77,12.0683
1387.5,0.55,121.718,120.557,7.46333,13.175
1388.5,25.0967,164.07,171.863,7.44167,13.3083
1389.5,238.702,100.487,153.965,8.46167,13.2233
1390.5,43.8933,32.5117,31.4967,6.935,12.8033
1391.5,0.0566667,0.9,0,6.905,12.4117
1392.5,0.0716667,0.46,0,8.25,10.9517
1393.5,0.00666667,0.555,0,6.51833,8.27667
1394.5,0,0.558333,0,6.58667,4.90333
1395.5,0.02,0.556667,0,6.255,2.75667
1396.5,0.418333,0.585,0,7.48667,1.38
1397.5,1.24167,0.291667,0,3.22667,0.415
1398.5,2.36167,0.191667,0,2.23833,0.0433333
1399.5,2.44833,0.215,0,3.205,-0.0416667
1400.5,2.06,0.208333,0,3.78167,-0.186667
1401.5,1.845,0.173333,0,3.28667,-0.351667
1402.5,3.015,0.186667,0,2.31667,-1.17167
1403.5,4.01333,2.395,1.24,1.18833,-2.02333
1404.5,323.938,34.845,70.355,1.77333,-1.855
1405.5,744.498,65.8367,259.745,3.13333,-0.193333
1406.5,880.418,81.59,451.59,3.41333,0.685
1407.5,941.272,91.8017,602.807,2.92,1.76
1408.5,964.96,100.203,695.39,2.21,3.33833
1409.5,970.202,100.433,722.8,2.77833,4.89
1410.5,982.283,87.2,688.637,2.87833,6.435
1411.5,860.853,103.577,560.955,2.455,7.51333
1412.5,667.927,122.667,398.65,2.22667,8.10333
1413.5,259.635,144.37,202.505,2.64,7.95667
1414.5,61.145,35.2733,41.7067,1.64833,7.555
1415.5,0,0.776667,0.21,0.786667,5.39833
1416.5,2.83333,0.00333333,0,1.28833,3.52
1417.5,1.59333,0.005,0,1.65333,3.80833
1418.5,2.25167,0.0166667,0,1.24167,4.20167
1419.5,1.56667,0.0183333,0,1.21,4.58833
1420.5,1.21,0.035,0,2.04833,4.90667
1421.5,1.725,0.0616667,0,1.85333,5.20333
1422.5,0.943333,0.271667,0,2.56167,5.07833
1423.5,1.39167,0.00166667,0,2.08333,4.84333
1424.5,1.27667,0.00166667,0,2.04167,4.31333
1425.5,1.695,0.0816667,0,1.65,4.23333
1426.5,1.20667,0.2,0,2.02833,4.18333
1427.5,2.11833,1.135,0.045,0.633333,4.26833
1428.5,3.17333,24.2867,20.2367,3.20667,4.90667
1429.5,1.07667,36.135,32.3483,6.76833,7.30167
1430.5,0.843333,59.445,56.1533,5.34333,7.425
1431.5,0.71,99.885,97.4183,6.26667,7.30167
1432.5,0.0816667,63.3833,61.8317,5.68833,6.75667
1433.5,0.418333,134.722,134.41,6.01667,6.075
1434.5,0.111667,76.5283,74.7067,6.10833,5.62833
1435.5,0.0283333,29.6833,27.0367,4.58167,4.99667
1436.5,0.39,47.9817,45.4533,5.54,4.42167
1437.5,0,23.5,20.51,6.25333,3.94167
1438.5,0.13,12.2183,9.49667,6.21,3.45167
1439.5,1.16833,0.67,0,4.76,3.41
1440.5,1.60333,0.221667,0,3.40667,3.38167
1441.5,2.40667,0.113333,0,2.30667,3.285
1442.5,1.60833,0.0883333,0,2.165,3.25
1443.5,2.89833,0.0983333,0,1.245,3.135
1444.5,2.17167,0.065,0,1.20667,2.905
1445.5,2.50333,0.193333,0,0.58,2.44167
1446.5,1.22,0.165,0,0.725,0.7
1447.5,3.36667,0.195,0,0.79,-0.111667
1448.5,4.08333,0.196667,0,0.841667,-0.736667
1449.5,4.40833,0.196667,0,0.353333,-1.25
1450.5,5.17333,0.195,0,0.595,-1.325
1451.5,4.44833,2.59167,1.40833,0.978333,-0.32
1452.5,88.5283,67.2317,77.1233,1.05667,-0.366667
1453.5,410.612,133.027,247.705,1.865,2.17667
1454.5,665.36,145.815,444.057,2.48333,4.485
1455.5,512.067,236.408,531.487,5.41833,5.59667
1456.5,461.105,268.078,570.288,4.04333,6.95667
1457.5,400.94,304.183,579.855,3.82833,7.965
1458.5,158.457,248.523,358.875,4.4,8.33667
1459.5,1.075,186.963,188.105,3.96333,8.425
1460.5,0.03,75.03,73.4033,5.32167,8.20167
